Signal,EntryDateTime,EntryPrice,ExitType,ExitDateTime,ExitPrice,PandL,PandL_Percentage
SELL,2018-01-16 00:00:00,922.95,SELLEXIT,2018-01-19 00:00:00,931.3,-8.349999999999909,-0.9047077306462872
BUY,2018-01-19 00:00:00,931.3,BUYEXIT,2018-01-24 00:00:00,966.35,35.05000000000007,3.7635563191238126
SELL,2018-01-24 00:00:00,966.35,SELLEXIT,2018-02-12 00:00:00,915.5,50.850000000000016,5.262068608682157
BUY,2018-02-12 00:00:00,915.5,BUYEXIT,2018-02-16 00:00:00,921.3,5.7999999999999545,0.6335335882031626
SELL,2018-02-16 00:00:00,921.3,SELLEXIT,2018-02-26 00:00:00,938.7,-17.40000000000009,-1.8886356235753927
BUY,2018-02-26 00:00:00,938.7,BUYEXIT,2018-03-05 00:00:00,924.1,-14.600000000000026,-1.5553424949398127
SELL,2018-03-05 00:00:00,924.1,SELLEXIT,2018-03-08 00:00:00,911.45,12.649999999999974,1.368899469754353
BUY,2018-03-08 00:00:00,911.45,BUYEXIT,2018-03-15 00:00:00,911.8,0.34999999999990905,0.03840035108891426
SELL,2018-03-15 00:00:00,911.8,SELLEXIT,2018-03-22 00:00:00,908.15,3.649999999999977,0.40030708488703415
BUY,2018-03-22 00:00:00,908.15,BUYEXIT,2018-03-23 00:00:00,893.9,-14.25,-1.5691240433849036
SELL,2018-03-23 00:00:00,893.9,SELLEXIT,2018-04-03 00:00:00,899.55,-5.649999999999977,-0.6320617518738089
BUY,2018-04-03 00:00:00,899.55,BUYEXIT,2018-04-20 00:00:00,927.9,28.350000000000023,3.151575787893949
SELL,2018-04-20 00:00:00,927.9,SELLEXIT,2018-04-24 00:00:00,970.05,-42.14999999999998,-4.542515357258322
BUY,2018-04-24 00:00:00,970.05,BUYEXIT,2018-04-30 00:00:00,963.3,-6.75,-0.6958404205968766
SELL,2018-04-30 00:00:00,963.3,SELLEXIT,2018-05-07 00:00:00,971.0,-7.700000000000045,-0.7993356171493872
BUY,2018-05-07 00:00:00,971.0,BUYEXIT,2018-05-16 00:00:00,956.15,-14.850000000000026,-1.5293511843460377
SELL,2018-05-16 00:00:00,956.15,SELLEXIT,2018-06-01 00:00:00,930.55,25.600000000000023,2.6774041729854132
BUY,2018-06-01 00:00:00,930.55,BUYEXIT,2018-06-19 00:00:00,996.05,65.5,7.038847993122348
SELL,2018-06-19 00:00:00,996.05,SELLEXIT,2018-06-20 00:00:00,1019.25,-23.20000000000005,-2.32920034134833
BUY,2018-06-20 00:00:00,1019.25,BUYEXIT,2018-06-22 00:00:00,1012.5,-6.75,-0.6622516556291391
SELL,2018-06-22 00:00:00,1012.5,SELLEXIT,2018-06-29 00:00:00,972.45,40.04999999999996,3.9555555555555513
BUY,2018-06-29 00:00:00,972.45,BUYEXIT,2018-07-05 00:00:00,964.5,-7.950000000000045,-0.8175227518124372
SELL,2018-07-05 00:00:00,964.5,SELLEXIT,2018-07-06 00:00:00,977.55,-13.049999999999955,-1.3530326594090154
BUY,2018-07-06 00:00:00,977.55,BUYEXIT,2018-07-16 00:00:00,1076.2,98.65000000000008,10.091555419160157
SELL,2018-07-16 00:00:00,1076.2,SELLEXIT,2018-07-17 00:00:00,1092.35,-16.149999999999864,-1.5006504367217863
BUY,2018-07-17 00:00:00,1092.35,BUYEXIT,2018-07-24 00:00:00,1110.95,18.600000000000136,1.702750949787169
SELL,2018-07-24 00:00:00,1110.95,SELLEXIT,2018-07-27 00:00:00,1129.85,-18.899999999999864,-1.701246680768699
BUY,2018-07-27 00:00:00,1129.85,BUYEXIT,2018-08-02 00:00:00,1168.35,38.5,3.407531973270789
